City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
100,Alyangula,AU,78.8,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
104,Meulaboh,ID,80.98,broken clouds,4.1363,96.1285,Kost Pria
109,Maragogi,BR,77.14,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
114,San Juan,AR,78.42,clear sky,-31.5375,-68.5364,Hotel Provincial
115,Manokwari,ID,84.76,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
129,Te Anau,NZ,76.8,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
131,Singaparna,ID,77.97,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
133,Santa Cruz,BO,75.2,light rain,-17.8,-63.1667,Hotel Cortez
142,Lahat,ID,80.85,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
145,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
147,Arraial Do Cabo,BR,75.61,few clouds,-22.9661,-42.0278,Pousada Porto Praia
150,Bonthe,SL,77.81,clear sky,7.5264,-12.505,Bonthe Holiday Village
151,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
159,Bambanglipuro,ID,83.93,overcast clouds,-7.95,110.2833,Puri Brata
166,Kuah,MY,82.4,few clouds,6.3265,99.8432,Azio Hotel
168,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
176,Kaeo,NZ,75.0,clear sky,-35.1,173.7833,Bushido Lodge
177,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
180,Bengkulu,ID,81.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
184,Broken Hill,AU,78.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
188,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
197,Cockburn Town,TC,77.72,clear sky,21.4612,-71.1419,Osprey Beach Hotel
199,Port Blair,IN,80.85,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
201,Pathein,MM,79.43,clear sky,16.7833,94.7333,Pathein Hotel
207,Saint-Pierre,RE,80.6,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
213,Simbahan,PH,82.45,heavy intensity rain,6.3032,120.5836,
215,Hithadhoo,MV,82.06,broken clouds,-0.6,73.0833,Scoop Guest House
217,Mahibadhoo,MV,81.18,light rain,3.7833,72.9667,Omadhoo Inn
218,Lorengau,PG,86.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
219,Hervey Bay,AU,84.99,clear sky,-25.2986,152.8535,Shelly Bay Resort
223,Sri Aman,MY,75.2,light rain,1.2376,111.4621,Seri Simanggang Hotel
230,Sao Joao Da Barra,BR,76.01,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
236,Bata,GQ,77.0,scattered clouds,1.8639,9.7658,Hotel Carmen
247,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,Base Lodging
251,Kieta,PG,86.27,overcast clouds,-6.2167,155.6333,
257,Faanui,PF,81.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
263,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
264,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
269,Kavaratti,IN,79.41,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
270,Ambilobe,MG,75.72,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
290,Salinopolis,BR,79.03,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
292,Sibu,MY,77.0,light rain,2.3,111.8167,RH HOTEL (4 Star)
296,Moerai,PF,79.7,clear sky,-22.4333,-151.3333,Le Manotel
297,Palauig,PH,82.42,few clouds,15.435,119.9045,Myhousebythesea
299,Teahupoo,PF,86.0,scattered clouds,-17.8333,-149.2667,Vanira Lodge
302,Micheweni,TZ,78.57,clear sky,-4.9667,39.8333,
304,Sampit,ID,78.46,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
306,Kawhia,NZ,86.0,few clouds,-38.0651,174.8183,Kawhia Beachside Scape Holiday Park
314,Hobyo,SO,76.08,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
316,Namatanai,PG,85.62,overcast clouds,-3.6667,152.4333,Namatanai Hotel
323,Male,MV,82.4,broken clouds,4.1748,73.5089,Hotel Octave Maldives
324,Acapulco,MX,80.6,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
326,Acarau,BR,78.24,light rain,-2.8856,-40.12,castelo pizzaria
327,Mitsamiouli,KM,80.85,few clouds,-11.3847,43.2844,Foyer ADM
331,Lucea,JM,77.0,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
335,Takoradi,GH,78.35,broken clouds,4.8845,-1.7554,Raybow International Hotel
336,Nelson Bay,AU,90.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
339,Bubaque,GW,77.56,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
341,Bambous Virieux,MU,81.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
