City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,84,75,4.61,broken clouds
229,Oster,UA,50.9506,30.8823,28.0,93,94,2.15,overcast clouds
230,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.01,88,0,14.5,clear sky
231,Ati,TD,13.2154,18.3353,65.46,24,0,9.98,clear sky
232,Lalmohan,BD,22.3384,90.7419,68.47,52,0,6.62,clear sky
233,Brae,GB,60.3964,-1.353,39.2,65,40,18.41,scattered clouds
234,Saldanha,ZA,-33.0117,17.9442,64.4,82,0,4.61,clear sky
235,Biltine,TD,14.5333,20.9167,65.08,27,0,12.03,clear sky
236,Bata,GQ,1.8639,9.7658,77.0,100,40,3.44,scattered clouds
237,La Rioja,ES,42.25,-2.5,32.0,93,0,9.22,clear sky
238,Ahipara,NZ,-35.1667,173.1667,71.92,68,15,6.76,few clouds
239,Nanortalik,GL,60.1432,-45.2371,29.12,94,100,10.8,light snow
240,Burlington,US,39.8835,-74.6413,35.01,69,1,4.85,clear sky
241,Zacatepec,MX,18.65,-99.2,69.01,57,14,1.21,few clouds
242,Torbay,CA,47.6666,-52.7314,30.0,93,90,6.91,light snow
243,Kollegal,IN,12.15,77.1167,69.8,43,40,5.75,scattered clouds
244,Ponta Do Sol,PT,32.6667,-17.1,52.0,56,90,1.99,overcast clouds
245,Jiexiu,CN,37.0244,111.9125,42.89,45,0,2.75,clear sky
246,Fortuna,US,40.5982,-124.1573,55.99,100,90,1.97,overcast clouds
247,Ewa Beach,US,21.3156,-158.0072,80.6,61,1,12.66,clear sky
248,Port Hardy,CA,50.6996,-127.4199,42.8,87,90,4.61,overcast clouds
249,Mecca,SA,21.4267,39.8261,70.07,68,0,2.53,clear sky
250,Viedma,AR,-40.8135,-62.9967,66.99,68,100,23.22,light rain
251,Kieta,PG,-6.2167,155.6333,86.27,57,100,5.23,overcast clouds
252,Victoria,HK,22.2855,114.1577,64.99,40,36,3.0,scattered clouds
253,Leshukonskoye,RU,64.8989,45.7622,-16.6,86,59,3.53,broken clouds
254,Jiangmen,CN,22.5833,113.0833,64.0,51,26,1.9,scattered clouds
255,Lompoc,US,34.6391,-120.4579,66.2,82,1,8.14,clear sky
256,Baherden,TM,38.4362,57.4316,41.4,63,0,7.25,clear sky
257,Faanui,PF,-16.4833,-151.75,81.54,75,100,16.51,light rain
258,Bismarck,US,46.8083,-100.7837,46.4,57,90,28.77,light rain
259,Husavik,IS,66.0449,-17.3389,39.2,70,90,8.05,overcast clouds
260,Abu Samrah,SY,35.3029,37.1841,50.77,82,0,11.65,clear sky
261,Sur,OM,22.5667,59.5289,63.12,57,0,2.44,clear sky
262,Caravelas,BR,-17.7125,-39.2481,74.66,85,0,4.79,clear sky
263,Georgetown,MY,5.4112,100.3354,81.0,78,20,1.14,few clouds
264,Mahebourg,MU,-20.4081,57.7,77.0,88,75,6.91,broken clouds
265,Villazon,BO,-22.0866,-65.5942,52.29,76,100,10.25,overcast clouds
266,Iqaluit,CA,63.7506,-68.5145,-14.01,70,20,3.78,few clouds
267,Port Elizabeth,ZA,-33.918,25.5701,69.8,88,90,11.5,overcast clouds
268,Clyde River,CA,70.4692,-68.5914,-4.0,84,90,11.5,light snow
269,Kavaratti,IN,10.5669,72.642,79.41,74,100,4.54,light rain
270,Ambilobe,MG,-13.2,49.05,75.72,93,55,0.74,broken clouds
271,Palmer,US,42.1584,-72.3287,35.01,64,90,4.61,overcast clouds
272,Bayangol,RU,50.6977,103.4656,-10.08,83,81,1.59,broken clouds
273,Coahuayana,MX,18.7333,-103.6833,73.63,56,99,2.28,overcast clouds
274,Druzhba,UA,52.0428,33.9453,15.17,97,82,5.5,broken clouds
275,Odweyne,SO,9.4092,45.064,59.47,35,32,4.47,scattered clouds
276,Maniitsoq,GL,65.4167,-52.9,21.24,95,100,8.43,overcast clouds
277,Itaueira,BR,-7.6033,-43.0256,73.11,86,1,0.51,light rain
278,Hamilton,US,39.1834,-84.5333,41.0,65,1,4.61,clear sky
279,Castricum,NL,52.5483,4.6694,37.0,88,100,6.08,overcast clouds
280,Aksarka,RU,66.5606,67.7975,-2.87,87,100,12.97,overcast clouds
281,Jinchang,CN,38.4953,102.1739,27.95,62,1,4.83,clear sky
282,Klyuchi,RU,52.2667,79.1667,-25.56,86,94,6.55,overcast clouds
283,Belaya Gora,RU,68.5333,146.4167,-32.98,83,100,3.83,overcast clouds
284,Jefferson City,US,38.5767,-92.1735,48.2,43,1,4.61,clear sky
285,Atbasar,KZ,51.8,68.3333,-16.78,84,0,5.88,clear sky
286,North Bend,US,43.4065,-124.2243,52.0,93,1,3.44,mist
287,Lerik,AZ,38.7726,48.4128,46.4,100,90,3.44,mist
288,Kerman,IR,30.2832,57.0788,21.2,38,0,2.3,clear sky
289,Roald,NO,62.5833,6.1333,25.0,86,0,8.05,clear sky
290,Salinopolis,BR,-0.6136,-47.3561,79.03,85,84,11.45,light rain
291,Khani,GE,41.9563,42.9566,51.8,93,90,2.3,overcast clouds
292,Sibu,MY,2.3,111.8167,77.0,88,40,3.44,light rain
293,Garca,BR,-22.2106,-49.6561,72.0,92,100,4.0,overcast clouds
294,Beyneu,KZ,45.3167,55.2,32.59,90,62,32.21,broken clouds
295,Paamiut,GL,61.994,-49.6678,22.39,94,100,6.13,overcast clouds
296,Moerai,PF,-22.4333,-151.3333,79.7,77,0,13.85,clear sky
297,Palauig,PH,15.435,119.9045,82.42,59,14,2.13,few clouds
298,Ecatepec,MX,19.6011,-99.0525,62.6,48,90,9.22,overcast clouds
299,Teahupoo,PF,-17.8333,-149.2667,86.0,66,40,8.05,scattered clouds
300,Solnechnyy,RU,50.7214,136.6319,-2.94,85,100,4.65,overcast clouds
301,Camopi,GF,3.1655,-52.3158,71.37,98,98,2.55,overcast clouds
302,Micheweni,TZ,-4.9667,39.8333,78.57,80,7,9.62,clear sky
303,Havelock,US,34.8791,-76.9013,43.0,100,1,3.44,clear sky
304,Sampit,ID,-2.5333,112.95,78.46,92,100,4.34,light rain
305,Carupano,VE,10.6678,-63.2585,74.91,87,99,9.8,overcast clouds
306,Kawhia,NZ,-38.0651,174.8183,86.0,41,14,3.0,few clouds
307,Pisco,PE,-13.7,-76.2167,69.8,83,0,13.8,clear sky
308,Tambovka,RU,50.0969,128.0489,-7.6,59,0,4.47,clear sky
309,Turayf,SA,31.6725,38.6637,50.0,62,0,9.22,clear sky
310,Shakawe,BW,-18.3667,21.85,68.14,94,100,2.33,overcast clouds
311,Binzhou,CN,37.3667,118.0167,44.1,56,0,8.3,clear sky
312,Lata,PT,40.1629,-8.3327,46.0,91,5,3.13,clear sky
313,Siuna,NI,13.7332,-84.7773,67.8,82,48,3.06,scattered clouds
314,Hobyo,SO,5.3505,48.5268,76.08,77,66,20.42,broken clouds
315,Damghan,IR,36.1683,54.348,35.13,76,0,1.07,clear sky
316,Namatanai,PG,-3.6667,152.4333,85.62,64,99,10.94,overcast clouds
317,San Cristobal,VE,7.7669,-72.225,62.83,85,100,1.63,overcast clouds
318,Isla Mujeres,MX,21.2311,-86.731,73.0,100,90,4.61,light rain
319,Bandarbeyla,SO,9.4942,50.8122,73.06,75,96,20.76,overcast clouds
320,Narsaq,GL,60.9167,-46.05,28.4,86,90,3.44,light snow
321,Pittsfield,US,42.4501,-73.2454,30.2,74,1,4.09,clear sky
322,Lisakovsk,KZ,52.5369,62.4936,-17.91,88,100,3.6,overcast clouds
323,Male,MV,4.1748,73.5089,82.4,78,75,9.22,broken clouds
324,Acapulco,MX,16.8634,-99.8901,80.6,74,20,11.5,few clouds
325,Zhigansk,RU,66.7697,123.3711,-40.11,80,83,11.74,broken clouds
326,Acarau,BR,-2.8856,-40.12,78.24,81,98,12.33,light rain
327,Mitsamiouli,KM,-11.3847,43.2844,80.85,75,12,8.5,few clouds
328,Alekseyevsk,RU,57.8406,108.3492,-9.45,87,100,14.41,overcast clouds
329,Weston,US,26.1004,-80.3998,62.6,100,75,5.75,moderate rain
330,Digby,CA,44.6169,-65.7655,33.8,80,100,3.44,overcast clouds
331,Lucea,JM,18.451,-78.1736,77.0,83,20,2.3,few clouds
332,Yulara,AU,-25.2406,130.9889,100.4,15,0,5.75,clear sky
333,Wanxian,CN,30.8039,108.3897,51.42,46,0,3.22,clear sky
334,Vestmannaeyjar,IS,63.4427,-20.2734,43.92,77,70,13.62,broken clouds
335,Takoradi,GH,4.8845,-1.7554,78.35,87,80,7.83,broken clouds
336,Nelson Bay,AU,-32.7167,152.15,90.0,48,0,9.22,clear sky
337,Peno,RU,56.9262,32.7426,5.67,94,100,11.5,snow
338,Nikolayevka,RU,53.1257,47.2041,14.56,95,100,16.02,snow
339,Bubaque,GW,11.2833,-15.8333,77.56,69,0,7.76,clear sky
340,Santa Cruz De Tenerife,ES,28.4682,-16.2546,57.99,81,0,2.3,clear sky
341,Bambous Virieux,MU,-20.3428,57.7575,81.0,88,75,6.91,broken clouds
342,Palimbang,PH,6.2106,124.1894,86.43,65,30,5.88,scattered clouds
343,Mogadishu,SO,2.0371,45.3438,74.88,84,2,18.03,clear sky
344,Port Macquarie,AU,-31.4333,152.9167,90.0,48,0,4.0,clear sky
345,Kitimat,CA,54.0524,-128.6534,35.01,93,77,3.31,broken clouds
346,Pevek,RU,69.7008,170.3133,-17.48,89,100,1.83,overcast clouds
347,Pascagoula,US,30.3658,-88.5561,44.6,93,1,5.44,clear sky
348,Hofn,IS,64.2539,-15.2082,40.95,93,100,12.71,light rain
349,Necochea,AR,-38.5473,-58.7368,57.99,80,25,15.41,scattered clouds
350,Lagoa,PT,39.05,-27.9833,61.02,91,82,18.14,broken clouds
351,Mount Gambier,AU,-37.8333,140.7667,66.2,63,75,20.71,broken clouds
352,Marzuq,YE,14.4,46.4667,49.77,51,0,1.79,clear sky
353,Hammerfest,NO,70.6634,23.6821,32.0,74,75,13.8,snow
354,Saurimo,AO,-9.6608,20.3916,62.47,92,100,3.87,overcast clouds
355,Svetlyy,RU,54.675,20.1347,30.2,93,90,8.95,overcast clouds
356,Santa Maria,BR,-29.6842,-53.8069,68.0,83,40,9.22,scattered clouds
357,Chokurdakh,RU,70.6333,147.9167,-25.47,86,100,6.46,overcast clouds
358,Carnarvon,AU,-24.8667,113.6333,84.2,74,50,14.97,scattered clouds
359,Beringovskiy,RU,63.05,179.3167,-11.2,89,100,9.75,overcast clouds
360,Hot Springs,US,34.5037,-93.0552,39.99,70,1,5.64,clear sky
361,Bathsheba,BB,13.2167,-59.5167,80.6,65,20,17.27,few clouds
362,Felanitx,ES,39.4696,3.1483,44.01,93,0,2.3,clear sky
363,Salalah,OM,17.0151,54.0924,71.6,30,0,9.22,clear sky
364,Tukrah,LY,32.5341,20.5791,58.01,67,24,19.17,few clouds
365,Palma Del Rio,ES,37.7002,-5.2812,37.99,100,0,1.14,clear sky
366,Kamra,PK,33.7473,73.5111,43.88,50,19,10.27,few clouds
367,Barra Do Garcas,BR,-15.89,-52.2567,76.06,83,100,0.85,light rain
368,Port Lincoln,AU,-34.7333,135.8667,65.07,53,26,14.61,scattered clouds
369,Osypenko,UA,46.9136,36.8253,28.0,53,100,1.99,overcast clouds
370,Huarmey,PE,-10.0681,-78.1522,70.74,85,100,7.29,overcast clouds
371,Chitral,PK,35.8462,71.7858,37.83,43,0,8.52,clear sky
372,Gayeri,BF,12.6497,0.4931,67.69,23,0,7.45,clear sky
373,Akyab,MM,20.15,92.9,69.31,55,65,5.73,broken clouds
374,Carauari,BR,-4.8828,-66.8958,74.28,96,100,3.22,moderate rain
375,Umm Kaddadah,SD,13.6017,26.6876,63.64,28,0,13.62,clear sky
376,West Bay,KY,19.3667,-81.4167,78.01,94,20,4.61,few clouds
377,Svetlogorsk,BY,52.6333,29.7333,16.34,97,95,5.73,overcast clouds
378,Ovsyanka,RU,55.9575,92.5519,-2.2,71,100,15.66,light snow
379,Yangambi,CD,0.8102,24.4336,70.07,82,100,0.98,overcast clouds
380,Kongolo,CD,-5.3833,27.0,69.22,94,100,2.59,light rain
381,Ulaangom,MN,49.9811,92.0667,-4.79,91,100,1.41,snow
382,Pacific Grove,US,36.6177,-121.9166,60.01,72,1,3.44,clear sky
383,Sept-Iles,CA,50.2001,-66.3821,23.0,86,100,3.44,light snow
384,Karratha,AU,-20.7377,116.8463,105.1,20,7,8.1,clear sky
385,Sabzevar,IR,36.2126,57.6819,37.04,58,0,1.66,clear sky
386,Sayat,TM,38.7839,63.8803,32.0,86,0,9.22,mist
387,Mananara,MG,-16.1667,49.7667,76.01,88,77,2.62,broken clouds
388,Taltal,CL,-25.4,-70.4833,63.63,73,2,2.68,clear sky
389,Merauke,ID,-8.4667,140.3333,86.31,71,97,9.8,light rain
390,Fairbanks,US,64.8378,-147.7164,-2.2,78,75,1.14,broken clouds
391,Dwarka,IN,22.2394,68.9678,67.55,40,0,9.28,clear sky
392,Isangel,VU,-19.55,169.2667,86.0,84,75,6.91,light rain
393,Price,US,39.5994,-110.8107,19.4,68,1,3.44,clear sky
394,Candolim,IN,15.5181,73.7626,75.2,60,40,6.91,scattered clouds
395,Bac Lieu,VN,9.285,105.7244,76.84,57,0,5.26,clear sky
396,Fenyi,CN,27.8112,114.6681,57.96,36,20,1.7,few clouds
397,Sioux Lookout,CA,50.1001,-91.917,26.6,93,90,4.61,mist
398,Sabang,ID,5.8933,95.3214,80.98,81,67,17.94,broken clouds
399,Tuatapere,NZ,-46.1333,167.6833,64.2,73,43,8.52,scattered clouds
400,Sangar,RU,63.9242,127.4739,-43.38,79,78,4.74,broken clouds
401,Yuncheng,CN,35.0231,110.9928,48.94,40,0,1.57,clear sky
402,Kabompo,ZM,-13.5927,24.2008,64.26,97,100,2.62,overcast clouds
403,Barentu,ER,15.1139,37.5928,55.24,79,0,1.21,clear sky
404,Provideniya,RU,64.3833,-173.3,5.0,72,75,6.71,light snow
405,Hay River,CA,60.8156,-115.7999,19.4,93,100,16.11,light snow
406,Russell,US,32.3502,-85.1999,44.6,80,1,4.92,clear sky
407,Kursumlija,RS,43.1458,21.2686,30.2,86,75,3.44,broken clouds
408,Plastun,RU,44.7561,136.2939,15.55,76,0,17.65,clear sky
409,Batagay-Alyta,RU,67.8006,130.4114,-40.65,71,0,1.3,clear sky
410,Olinda,BR,-8.0089,-34.8553,78.8,69,40,3.44,scattered clouds
411,Prainha,BR,-1.8,-53.48,74.46,90,77,3.62,moderate rain
412,Soure,BR,-0.7167,-48.5233,79.38,85,100,9.6,light rain
413,Imeni Babushkina,RU,59.7573,43.1285,-16.85,87,99,6.67,overcast clouds
414,High Rock,BS,26.6208,-78.2833,68.0,88,90,13.18,overcast clouds
415,Olafsvik,IS,64.8945,-23.7142,40.37,82,33,18.88,scattered clouds
416,Aban,RU,56.67,96.06,-7.73,90,100,12.12,overcast clouds
417,Nouadhibou,MR,20.931,-17.0347,59.0,72,100,18.41,overcast clouds
418,Escanaba,US,45.7453,-87.0646,24.01,100,1,3.56,mist
419,Mutoko,ZW,-17.397,32.2268,63.99,100,99,5.03,light rain
420,Formosa,AR,-26.1775,-58.1781,80.6,83,0,8.05,clear sky
421,Aswan,EG,24.0934,32.907,60.48,44,1,11.68,clear sky
422,Kindu,CD,-2.95,25.95,69.85,96,100,1.63,light rain
423,Dhidhdhoo,MV,6.8833,73.1,80.47,78,100,10.09,moderate rain
424,Slavutych,UA,51.5196,30.7343,19.56,95,79,3.74,broken clouds
425,Erdenet,MN,49.0333,104.0833,-8.54,87,37,4.36,scattered clouds
426,Vila Velha,BR,-20.3297,-40.2925,77.0,83,20,3.44,light rain
427,Businga,CD,3.3333,20.8833,67.53,40,13,0.87,few clouds
428,Kyzyl-Suu,KG,42.3414,78.0056,27.09,84,55,8.52,broken clouds
